x:  0, y: 80, r:  155, g:    5, b:   16
x:  0, y: 81, r:  158, g:    8, b:   21
x:  0, y: 82, r:  152, g:    1, b:   16
x:  0, y: 83, r:  157, g:    7, b:   19
x:  0, y: 84, r:  154, g:    4, b:   14
x:  0, y: 85, r:  154, g:    4, b:   16
x:  0, y: 86, r:  153, g:    3, b:   15
x:  0, y: 87, r:  154, g:    4, b:   16
x:  0, y: 88, r:  154, g:    4, b:   16
x:  0, y: 89, r:  153, g:    4, b:   15
x:  0, y: 90, r:  158, g:    6, b:   19
x:  0, y: 91, r:  157, g:    5, b:   17
x:  0, y: 92, r:  161, g:    7, b:   17
x:  0, y: 93, r:  163, g:    9, b:   19
x:  0, y: 94, r:  162, g:    7, b:   17
