x:  0, y: 76, r:  195, g:  199, b:  202
x:  0, y: 77, r:  195, g:  199, b:  200
x:  0, y: 78, r:  195, g:  199, b:  201
x:  0, y: 79, r:  195, g:  199, b:  202
x:  0, y: 80, r:  195, g:  199, b:  202
x:  0, y: 81, r:  195, g:  199, b:  202
x:  0, y: 82, r:  195, g:  199, b:  202
x:  0, y: 83, r:  195, g:  199, b:  202
x:  0, y: 84, r:  195, g:  199, b:  202
x:  0, y: 85, r:  195, g:  199, b:  199
x:  0, y: 86, r:  195, g:  199, b:  199
x:  0, y: 87, r:  195, g:  199, b:  199
x:  0, y: 88, r:  195, g:  199, b:  200
x:  0, y: 89, r:  195, g:  199, b:  202
x:  0, y: 90, r:  194, g:  198, b:  201
x:  0, y: 91, r:  191, g:  196, b:  199
x:  0, y: 92, r:  193, g:  198, b:  201
x:  0, y: 93, r:  190, g:  195, b:  198
x:  0, y: 94, r:  194, g:  199, b:  202
